row,id,corp_no,factory_cd,machine,jig_no,voltage,e_current,gas,wire,prod_qty,hit_point,terms,error1,error2,error3,weldtime,tip_change,start_point,mes_trans_ok,mes_trans_time,bigo,starttime,workings_cd,item_no,input_lot,lot_no
206,353167689,100,200,co2#1,1,17.1,246.2,14.4,0,0,1,1,,,-,0,0,0,N,,,15:24.6,,,,
207,353167690,100,200,co2#1,1,17.3,245.4,14.4,0,0,1,1,,,-,0,0,0,N,,,15:24.6,,,,
208,353167696,100,200,co2#1,1,17.4,265.8,14.4,0,0,1,1,,,-,0,0,0,N,,,15:25.1,,,,
209,353167702,100,200,co2#1,1,17.2,263.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:25.7,,,,
210,353167708,100,200,co2#1,1,18.4,248,14.4,0,0,1,1,,,-,0,0,0,N,,,15:26.2,,,,
211,353167715,100,200,co2#1,1,18.6,259.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:26.7,,,,
212,353167716,100,200,co2#1,1,16.9,259.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:26.7,,,,
213,353167722,100,200,co2#1,1,16.9,256.4,14.4,0,0,1,1,,,-,0,0,0,N,,,15:27.2,,,,
214,353167727,100,200,co2#1,1,16.6,248,14.4,0,0,1,1,,,-,0,0,0,N,,,15:27.7,,,,
215,353167732,100,200,co2#1,1,18.3,271.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:28.3,,,,
216,353167737,100,200,co2#1,1,16.9,250.9,14.4,0,0,1,1,,,-,0,0,0,N,,,15:28.8,,,,
217,353167743,100,200,co2#1,1,18.8,271.6,14.4,0,0,1,1,,,-,0,0,0,N,,,15:29.3,,,,
218,353167749,100,200,co2#1,1,18.6,251.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:29.8,,,,
219,353167754,100,200,co2#1,1,18.6,251.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:30.3,,,,
220,353167759,100,200,co2#1,1,18.6,251.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:30.8,,,,
221,353167760,100,200,co2#1,1,18.5,246.2,14.4,0,0,1,1,,,-,0,0,0,N,,,15:30.9,,,,
222,353167765,100,200,co2#1,1,18.5,253.1,14.5,0,0,1,1,,,-,0,0,0,N,,,15:31.4,,,,
223,353167770,100,200,co2#1,1,18.5,248.7,14.5,0,0,1,1,,,-,0,0,0,N,,,15:31.9,,,,
